Year,Month,District,Max  temp,Min Temp,Days of frost in the air (days 0 or below),Rainfall,Sunshine,Temperature
2012,10,Scotland,9.5,2.7,6.7,150.9,80.8,6.1
2012,11,Scotland,7.3,1.7,9.4,158.9,51.5,4.5
2012,12,Scotland,5,-0.2,15.6,212.2,28.4,2.4
2013,1,Wales,6,1.4,15.1,140.3,36.4,3.7
2013,2,Wales,5.7,0.2,13.8,76.2,69,2.95
2013,3,Wales,5.5,-0.7,19.9,88.1,99.7,2.4
2013,4,Wales,10.3,2.5,8.9,54,159.4,6.4
2013,5,Wales,13.4,5.1,1,113.3,183.6,9.25
2013,6,Wales,17.1,8.6,0,62.4,188,12.85
2013,7,Wales,22.4,12,0,62.6,285.4,17.2
2013,8,Wales,19.4,11.6,0,108.6,153.1,15.5
2013,9,Wales,16.8,9.5,0,74.2,101.6,13.15
2013,10,Wales,14.5,9.2,0,224.9,72.1,11.85
2013,11,Wales,9.2,3.1,5.4,113.7,60.5,6.15
2013,12,Wales,9.1,3.3,3.4,224.9,37.8,6.2
2013,1,South West,6.9,2.2,11.1,144.7,44.9,4.55
2013,2,South West,6.3,0.9,10.6,61.1,68.7,3.6
2013,3,South West,6.4,0.2,16.9,91,94.6,3.3
2013,4,South West,10.8,3.1,7.5,46.9,161,6.95
2013,5,South West,14.1,5.5,0.5,92,206.7,9.8
2013,6,South West,17.6,9.3,0,49.3,194.8,13.45
2013,7,South West,23.1,12.5,0,45.1,297.7,17.8
2013,8,South West,20.3,12.1,0,86.9,177.1,16.2
2013,9,South West,17.7,10.1,0,72.9,107.4,13.9
2013,10,South West,15.4,9.7,0,211.9,88.6,12.55
2013,11,South West,9.9,3.7,4.7,104.4,68.8,6.8
2013,12,South West,9.7,3.5,2.8,217,44.5,6.6
2013,1,England NW & N Wales,5.4,1,15.7,109.9,29.1,3.2
2013,2,England NW & N Wales,5.6,-0.2,16,64.2,78.3,2.7
2013,3,England NW & N Wales,5,-1.2,20.9,66.3,95,1.9
2013,4,England NW & N Wales,10.2,2.4,9,54.6,159.5,6.3
2013,5,England NW & N Wales,13.4,5.5,1,98.6,167.9,9.45
2013,6,England NW & N Wales,17.2,8.5,0,61.5,187.7,12.85
2013,7,England NW & N Wales,22,12,0,94.3,267,17
2013,8,England NW & N Wales,19.3,11.8,0,100.5,144.1,15.55
2013,9,England NW & N Wales,16.2,9.2,0,78.5,99.9,12.7
2013,10,England NW & N Wales,14.1,9,0,185.2,61.8,11.55
2013,11,England NW & N Wales,8.6,2.6,7.4,96.2,67.7,5.6
2013,12,England NW & N Wales,8.8,3.3,2.2,188.5,37,6.05
2013,1,Midlands,5.5,0.6,16,64.2,43.6,3.05
2013,2,Midlands,5.5,-0.1,16.3,45.5,72.8,2.7
2013,3,Midlands,5.2,-0.8,19.9,65.1,77.7,2.2
2013,4,Midlands,11.7,2.6,8.7,21.9,160.9,7.15
2013,5,Midlands,14.9,5.5,0.5,78.5,184.1,10.2
2013,6,Midlands,18.2,8.9,0,36.2,180.9,13.55
2013,7,Midlands,24,12.4,0,67.3,269.9,18.2
2013,8,Midlands,21.4,11.9,0,52.6,174,16.65
2013,9,Midlands,17.8,9.2,0,44.8,122.9,13.5
2013,10,Midlands,15.1,9,0,132.9,85.4,12.05
2013,11,Midlands,9.1,2.6,5.4,58.8,77.6,5.85
2013,12,Midlands,9.2,2.6,2.2,89.6,57.4,5.9
2013,1,East Anlia,5.7,0.3,16.2,47,51,3
2013,2,East Anlia,5.5,0.3,11.9,31.1,59.5,2.9
2013,3,East Anlia,5.7,0.1,16.8,53.1,66.8,2.9
2013,4,East Anlia,12.7,3.1,9.1,23.8,193.5,7.9
2013,5,East Anlia,15.5,5.8,1.2,49,193.4,10.65
2013,6,East Anlia,18.6,9.5,0,20.2,169.4,14.05
2013,7,East Anlia,24.3,12.6,0,32.7,263.3,18.45
2013,8,East Anlia,23.2,12.8,0,52.2,217.1,18
2013,9,East Anlia,18.8,9.6,0,43.6,144.2,14.2
2013,10,East Anlia,16,9.3,0,96.6,93.1,12.65
2013,11,East Anlia,9.5,3.4,2.8,52.9,76.4,6.45
2013,12,East Anlia,9.3,2.5,2.9,59.2,62.4,5.9
2013,1,Englad SE & Centra SOuth,6.3,1.5,13.1,81.3,43.8,3.9
2013,2,Englad SE & Centra SOuth,6,0.3,12.8,38.1,68.1,3.15
2013,3,Englad SE & Centra SOuth,6.4,0.4,15.7,70.3,66.8,3.4
2013,4,Englad SE & Centra SOuth,12,3.2,7.7,41.8,167.3,7.6
2013,5,Englad SE & Centra SOuth,15.3,6,0.2,56.5,192.5,10.65
2013,6,Englad SE & Centra SOuth,18.7,9.7,0,22.8,188.2,14.2
2013,7,Englad SE & Centra SOuth,24.6,12.8,0,31.9,291.5,18.7
2013,8,Englad SE & Centra SOuth,22.6,12.5,0,39,214.4,17.55
2013,9,Englad SE & Centra SOuth,18.9,9.8,0,52.6,126.4,14.35
2013,10,Englad SE & Centra SOuth,16.2,9.4,0,138.5,97.5,12.8
2013,11,Englad SE & Centra SOuth,9.9,3.5,4.1,71.6,78.5,6.7
2013,12,Englad SE & Centra SOuth,9.8,2.8,4.6,161.3,53.9,6.3
2013,1,England E & NE,5.2,0.4,15,69.9,44.4,2.8
2013,2,England E & NE,5.3,-0.1,15,34.2,77.5,2.6
2013,3,England E & NE,4.5,-0.7,18.5,60.1,69,1.9
2013,4,England E & NE,10.9,2.6,7,22.3,168.3,6.75
2013,5,England E & NE,14.4,5.4,0.7,76.6,180.8,9.9
2013,6,England E & NE,17.4,8.4,0,40.7,176.4,12.9
2013,7,England E & NE,22.5,12,0,55.7,242.3,17.25
2013,8,England E & NE,20.9,11.5,0,60.9,180.3,16.2
2013,9,England E & NE,17,8.8,0,43.6,135.5,12.9
2013,10,England E & NE,14.5,8.6,0,111.6,81.5,11.55
2013,11,England E & NE,8.5,2,7.4,52.6,87.3,5.25
2013,12,England E & NE,8.6,2.2,3.6,76.9,58.1,5.4
2013,1,Scotland,4.9,0.7,14.5,147.2,24.8,2.8
2013,2,Scotland,5.4,-1,18.2,81.7,80.6,2.2
2013,3,Scotland,4.2,-1.6,21.5,51.6,86.2,1.3
2013,4,Scotland,8.6,1,11.8,115.6,165,4.8
2013,5,Scotland,12.5,4.4,2.7,118,155.1,8.45
